,Signature,Raag,Thaat,Prahar,Aaroha,Avroha,Vadi,Samvadi,Pakad,Jati,AS,AR,AG,AM,AP,AD,AN,VS,VR,VG,VM,VP,VD,VN,coeff,P,V,S,coeff2,BS,BR,BG,BM,BP,BD,BN
112,339,Rakta Hauns,Kafi,2 (9am - 12pm),S - R - m - P - D - S',S' - n - P - m - R - S,R,P,,Audav - Audav,H,H,A,H,H,H,A,H,H,A,H,H,A,K,2.9,2,5,2,3.5,H,H,A,H,H,H,K
122,94,"Kalyan, Puriya",Marwa,4 (3pm - 6pm),N - r - G - M - D - N - S',S' - N - D - P - M - G - r - S,G,N,MDND P - MG rGMG rS,Shadav - Sampoorna,H,K,H,T,A,H,H,H,K,H,T,H,H,H,4.3077,4,3,6,4.5,H,K,H,T,H,H,H
125,357,"Chandrika, Uday",Asavari,2 (9am - 12pm),S - R - g - m - P - d - N - S',S' - d - P - m - R - S,d,R,,Sampoorna - Audav,H,H,K,H,H,K,H,H,H,A,H,H,K,A,3.0,2,3,5,4.0,H,H,K,H,H,K,H
126,368,"Prabha, Kumud",Poorvi,4 (3pm - 6pm),S - r - G - d - N - S',S' - P - M - G - 'N - S,G,N,,Audav - Audav,H,K,H,A,A,K,H,H,A,H,T,H,A,H,3.8,4,3,6,4.5,H,K,H,T,H,K,H
128,579,"Kalyan, Shubh",Khamaaj,2 (9am - 12pm),S - R - G - P - D - n - S',S' - n - D - P - G - P - (G)R - S,P,R,S - RG - P - nD P - GP (G)R - S,Shadav - Shadav,H,H,H,A,H,H,K,H,H,H,A,H,H,K,3.3333,2,2,5,3.5,H,H,H,A,H,H,K
129,71,Gyankali,Bhairavi,2 (9am - 12pm),S - r - m - d - n - S',S' - n - d - m - r - S,m,S,r - m - d - n - d - m - r - S,Audav - Audav,H,K,A,H,A,K,K,H,K,A,H,A,K,K,3.4,2,2,1,1.5,H,K,A,H,A,K,K
131,378,"Maand, Asa",Bilawal,2 (9am - 12pm),S - R - m - P - D - S',S' - N - D - P - m - G - R - S,m,S,D - S - R - m - G - R - S - 'N - 'D,Shadav - Sampoorna,H,H,A,H,H,H,A,H,H,H,H,H,H,H,3.0833,2,2,1,1.5,H,H,H,H,H,H,H
132,5,"Manohari, Amba",Kafi,2 (9am - 12pm),S - R - g - m - D - N - S',S' - N - D - m - g - R - S,m,S,m - g - R - 'N - S - 'D - 'N - S,Shadav - Shadav,H,H,K,H,A,H,H,H,H,K,H,A,H,H,3.6667,2,2,1,1.5,H,H,K,H,A,H,H
134,512,"Todi, Ahiri",Todi,2 (9am - 12pm),S - r - g - m - P - D - n - S',S' - n - D - P - m - g - r - S,m,S,"S - r - g - r - S, n. - D. - n. - r - S",Vakra,H,K,K,H,H,H,K,H,K,K,H,H,H,K,3.4286,2,2,1,1.5,H,K,K,H,H,H,K
136,7,Asavari,Asavari,2 (9am - 12pm),S - R - m - P - d - S',S' - n - d - P - m - g - R - S,P,S,"RmP S' (n)d P, mP g RS",Audav - Sampoorna,H,H,A,H,H,K,A,H,H,K,H,H,K,K,2.9167,2,2,1,1.5,H,H,K,H,H,K,K
138,253,Abheri,Asavari,2 (9am - 12pm),S - g - m - P - n - S',S' - n - d - P - m - g - R - S,P,S,g - m - P - S' - n - d - P,Audav - Sampoorna,H,A,K,H,H,A,K,H,H,K,H,H,K,K,3.0,2,2,1,1.5,H,H,K,H,H,K,K
140,210,"Varali, Salag / Salag Varali",Todi,2 (9am - 12pm),S - r - g - P - D - n - S',S' - n - D - P - g - r - S,P,S,Sr 'n-Sr g - Pdn dP rgr - S,Shadav - Shadav,H,K,K,A,H,H,K,H,K,K,A,H,H,K,3.6667,2,2,1,1.5,H,K,K,A,H,H,K
141,304,"Todi, Anjani",Todi,2 (9am - 12pm),S - R - m - P - n - d - N - S',S' - n - D - P - g - R - S,P,S,,Shadav - Shadav,H,H,A,H,H,K,B,H,H,K,A,H,H,K,3.4615,2,2,1,1.5,H,H,K,H,H,B,B
142,21,Basant Mukhari / Komal Bhairav,,2 (9am - 12pm),S - r - G - m - P - d - n - S',S' - n - d - P - m - G - r - S,P,S,"P - d - n - d - P, G - m - (G) r - S",Sampoorna - Sampoorna,H,K,H,H,H,K,K,H,K,H,H,H,K,K,3.1429,2,2,1,1.5,H,K,H,H,H,K,K
143,54,Charukeshi,,2 (9am - 12pm),S - R - G - m - P - d - n - S',S' - n - d - P - m - G - R - S,P,S,R 'nS-R G-m - Pdnd mP Gm R-S,Sampoorna - Sampoorna,H,H,H,H,H,K,K,H,H,H,H,H,K,K,3.0,2,2,1,1.5,H,H,H,H,H,K,K
145,444,"Bhairavi, Nat",Asavari,2 (9am - 12pm),S - R - m - P - d - n - S',S' - n - d - P - m - g - R - S,P,S',not specific,Audav - Sampoorna,H,H,A,H,H,K,K,H,H,K,H,H,K,K,3.0769,2,2,1,1.5,H,H,K,H,H,K,K
150,256,Sameri,Asavari,2 (9am - 12pm),S - R - m - P - n - S',S' - n - d - P - m - g - R - S,,,,Audav - Sampoorna,H,H,A,H,H,A,K,H,H,K,H,H,K,K,3.0833,2,0,0,0.0,H,H,K,H,H,K,K
155,320,"Mohini, Chitta",Bilawal,3 (12pm - 3pm),"S, R - G - m - P, D - N - S'","S', N - P, m - R, S",R,P,,Sampoorna - Audav,H,H,H,H,H,H,H,H,H,A,H,H,A,H,3.25,3,5,2,3.5,H,H,H,H,H,H,H
158,166,"Sarang, Vrindavani",Kafi,3 (12pm - 3pm),N - S - R - m - P - N - S',S' - n - P - m - R - 'N - S,R,P,"nP - mR, mR - 'NS",Audav - Audav,H,H,A,H,H,A,H,H,H,A,H,H,A,B,3.3636,3,5,2,3.5,H,H,A,H,H,A,B
163,473,Patmanjiri (Kafi Thaat Ki),Kafi,3 (12pm - 3pm),S - R - g - m - P - n - S',S' - n - D - P - m - g - R - S,S,P,"S - 'n - 'D - 'P, S - 'n - S - R - g - R - S, R - m - P, m - P - D - g - R - g - m - g - R - S, m - P - n - D - P, n - S'",Shadav - Sampoorna,H,H,K,H,H,A,K,H,H,K,H,H,H,K,3.2308,3,1,2,1.5,H,H,K,H,H,H,K
166,469,Vijay Nagari,,3 (12pm - 3pm),S - R - g - M - P - D - S',S' - D - P - M - g - R - S,P,R,R - g - P - M - D - P - D - S',Shadav - Shadav,H,H,K,T,H,H,A,H,H,K,T,H,H,A,3.8333,3,2,5,3.5,H,H,K,T,H,H,A
168,602,Dhakkaa / Komal Bhimapalasi,Bhairavi,3 (12pm - 3pm),n - S - g - m - P - n - S',S' - n - D - P - m - g - r - S,m,S,gmP (m)g-rS - r 'nS m-,Audav - Sampoorna,H,A,K,H,H,A,K,H,K,K,H,H,H,K,3.1667,3,2,1,1.5,H,K,K,H,H,H,K
169,507,Pradeepki,Kafi,3 (12pm - 3pm),S - G - m - P - N - S',S' - n - D - P -  m - g - R - S,m,S,G - m - Pn - DP - mP - g - mg - R - S,Audav - Sampoorna,H,A,H,H,H,A,H,H,H,K,H,H,H,K,3.0833,3,2,1,1.5,H,H,B,H,H,H,B
170,445,"Basant, Dakshinatya",,3 (12pm - 3pm),S - G - m - D - N - S',S' - N - D - m - G - r - S,m,S,"G - m - D - S' - N - D - m - G, m - G - r - S - m",Audav - Shadav,H,A,H,H,A,H,H,H,K,H,H,A,H,H,3.4545,3,2,1,1.5,H,K,H,H,A,H,H
184,482,Saanjh / Sanz / Saanjh Ka Hindol,Marwa,4 (3pm - 6pm),S - G - M - D - N - S',S - N - D - M - G - S,G,N,"G M D N - MG, GMD GM-G, MG S",Audav - Audav,H,A,H,T,A,H,H,H,A,H,T,A,H,H,4.2,4,3,6,4.5,H,A,H,T,A,H,H
